Week,Coughing: (Denver CO)
5/5/2013,37
5/12/2013,23
5/19/2013,31
5/26/2013,21
6/2/2013,29
6/9/2013,32
6/16/2013,38
6/23/2013,37
6/30/2013,34
7/7/2013,25
7/14/2013,17
7/21/2013,39
7/28/2013,24
8/4/2013,28
8/11/2013,21
8/18/2013,28
8/25/2013,37
9/1/2013,50
9/8/2013,46
9/15/2013,41
9/22/2013,36
9/29/2013,50
10/6/2013,59
10/13/2013,47
10/20/2013,40
10/27/2013,23
11/3/2013,36
11/10/2013,40
11/17/2013,43
11/24/2013,29
12/1/2013,37
12/8/2013,42
12/15/2013,25
12/22/2013,58
12/29/2013,92
1/5/2014,56
1/12/2014,36
1/19/2014,36
1/26/2014,56
2/2/2014,48
2/9/2014,48
2/16/2014,49
2/23/2014,55
3/2/2014,32
3/9/2014,53
3/16/2014,42
3/23/2014,61
3/30/2014,36
4/6/2014,51
4/13/2014,42
4/20/2014,40
4/27/2014,43
5/4/2014,36
5/11/2014,57
5/18/2014,43
5/25/2014,30
6/1/2014,35
6/8/2014,27
6/15/2014,40
6/22/2014,20
6/29/2014,39
7/6/2014,20
7/13/2014,30
7/20/2014,13
7/27/2014,29
8/3/2014,36
8/10/2014,24
8/17/2014,27
8/24/2014,30
8/31/2014,18
9/7/2014,34
9/14/2014,44
9/21/2014,31
9/28/2014,36
10/5/2014,37
10/12/2014,47
10/19/2014,56
10/26/2014,23
11/2/2014,47
11/9/2014,47
11/16/2014,45
11/23/2014,35
11/30/2014,56
12/7/2014,42
12/14/2014,53
12/21/2014,87
12/28/2014,76
1/4/2015,67
1/11/2015,57
1/18/2015,46
1/25/2015,53
2/1/2015,52
2/8/2015,59
2/15/2015,37
2/22/2015,62
3/1/2015,32
3/8/2015,66
3/15/2015,43
3/22/2015,52
3/29/2015,33
4/5/2015,31
4/12/2015,40
4/19/2015,45
4/26/2015,45
5/3/2015,33
5/10/2015,43
5/17/2015,27
5/24/2015,50
5/31/2015,29
6/7/2015,42
6/14/2015,16
6/21/2015,20
6/28/2015,40
7/5/2015,42
7/12/2015,27
7/19/2015,27
7/26/2015,27
8/2/2015,15
8/9/2015,19
8/16/2015,43
8/23/2015,24
8/30/2015,34
9/6/2015,44
9/13/2015,35
9/20/2015,22
9/27/2015,34
10/4/2015,28
10/11/2015,44
10/18/2015,43
10/25/2015,35
11/1/2015,43
11/8/2015,63
11/15/2015,46
11/22/2015,41
11/29/2015,31
12/6/2015,20
12/13/2015,50
12/20/2015,57
12/27/2015,73
1/3/2016,31
1/10/2016,55
1/17/2016,82
1/24/2016,63
1/31/2016,45
2/7/2016,72
2/14/2016,47
2/21/2016,69
2/28/2016,51
3/6/2016,54
3/13/2016,59
3/20/2016,55
3/27/2016,52
4/3/2016,34
4/10/2016,44
4/17/2016,44
4/24/2016,54
5/1/2016,47
5/8/2016,26
5/15/2016,45
5/22/2016,47
5/29/2016,46
6/5/2016,47
6/12/2016,3
6/19/2016,38
6/26/2016,21
7/3/2016,28
7/10/2016,24
7/17/2016,36
7/24/2016,24
7/31/2016,30
8/7/2016,31
8/14/2016,22
8/21/2016,30
8/28/2016,17
9/4/2016,99
9/11/2016,31
9/18/2016,53
9/25/2016,51
10/2/2016,39
10/9/2016,31
10/16/2016,43
10/23/2016,39
10/30/2016,44
11/6/2016,26
11/13/2016,35
11/20/2016,60
11/27/2016,69
12/4/2016,54
12/11/2016,49
12/18/2016,68
12/25/2016,58
1/1/2017,48
1/8/2017,56
1/15/2017,41
1/22/2017,46
1/29/2017,75
2/5/2017,50
2/12/2017,80
2/19/2017,45
2/26/2017,52
3/5/2017,65
3/12/2017,62
3/19/2017,92
3/26/2017,43
4/2/2017,51
4/9/2017,61
4/16/2017,45
4/23/2017,47
4/30/2017,66
5/7/2017,30
5/14/2017,40
5/21/2017,27
5/28/2017,56
6/4/2017,29
6/11/2017,43
6/18/2017,26
6/25/2017,33
7/2/2017,36
7/9/2017,30
7/16/2017,37
7/23/2017,34
7/30/2017,38
8/6/2017,40
8/13/2017,20
8/20/2017,39
8/27/2017,41
9/3/2017,22
9/10/2017,38
9/17/2017,39
9/24/2017,36
10/1/2017,34
10/8/2017,53
10/15/2017,46
10/22/2017,60
10/29/2017,57
11/5/2017,53
11/12/2017,67
11/19/2017,55
11/26/2017,66
12/3/2017,50
12/10/2017,59
12/17/2017,36
12/24/2017,100
12/31/2017,78
1/7/2018,59
1/14/2018,51
1/21/2018,81
1/28/2018,91
2/4/2018,66
2/11/2018,80
2/18/2018,90
2/25/2018,66
3/4/2018,50
3/11/2018,53
3/18/2018,62
3/25/2018,54
4/1/2018,34
4/8/2018,58
4/15/2018,47
4/22/2018,63
